word,homonyms
অংস,['অংশ']
অংশ,['অংস']
অনু,"['অন্য', 'অণু']"
অণু,['অনু']
অশন,['অসন']
অসন,['অশন']
অনিল,"['অনীল', 'আনীল']"
অনীল,"['আনীল', 'অনিল']"
আনীল,"['অনীল', 'অনিল']"
অন্য,"['অনু', 'অন্ন']"
অপগত,['অবগত']
অবগত,['অপগত']
অবদান,['অবধান']
অবধান,['অবদান']
অবিরাম,['অভিরাম']
অভিরাম,['অবিরাম']
অবিহিত,['অভিহিত']
অভিহিত,['অবিহিত']
অর্থ-,['অর্ঘ্য']
অর্ঘ্য,"['অর্ঘ', 'অর্থ-']"
অশ্ব,['অশ্ম']
অশ্ম,['অশ্ব']
অসিত,['অশিত']
অশিত,['অসিত']
অসঙ্ত,['অশক্ত']
অশক্ত,"['অসক্ত', 'অসঙ্ত']"
অন্যপুষ্ট,"['অনুপুষ্ট', 'অন্নপুষ্ট']"
অনুপুষ্ট,['অন্যপুষ্ট']
অন্যান্য,['অন্যোন্য']
অন্যোন্য,"['অন্যন্য', 'অন্যান্য']"
অচ্যুত,['অচ্ছুত']
অচ্ছুত,['অচ্যুত']
অবিমিশ্র,['অবিমৃষ্য']
অবিমৃষ্য,['অবিমিশ্র']
অসিলতা,['অনীলতা']
অনীলতা,['অসিলতা']
অভ্যাস,['অভ্যাশ']
অভ্যাশ,['অভ্যাস']
অজগর,['অজাগর']
অজাগর,['অজগর']
অন্ত,['অন্ত্য']
অন্ত্য,['অন্ত']
অপচয়,['অবচয়']
অবচয়,['অপচয়']
আপন,['আপণ']
আপণ,['আপন']
আবরণ,['আভরণ']
আভরণ,['আবরণ']
আভাস,['আভাষ']
আভাষ,['আভাস']
আদি,['আধি']
আধি,['আদি']
আহুতি,['আহুতি']
আর্ত,['আত্ত']
আত্ত,['আর্ত']
ইতি,['ঈতি']
ঈতি,['ইতি']
ঈশ,['ইশ']
ইশ,['ঈশ']
উদ্যত,['উদ্ধত']
উদ্ধত,['উদ্যত']
উপাদান,['উপাধান']
উপাধান,['উপাদান']
ওষধি,['ওষধি']
কমল,['কোমল']
কোমল,['কমল']
কতক,['কথক']
কথক,['কতক']
কুড়ি,['কুঁড়ি']
কুঁড়ি,['কুড়ি']
কাদা,['কাদা']
কাটা,['কাঁটা']
কাঁটা,['কাটা']
কুজন,['কূজন']
কূজন,['কুজন']
কটি,['কোটি']
কোটি,['কটি']
কুট,['কূট']
কূট,['কুট']
কুল,['কূল']
কূল,['কুল']
কৃত,['ক্রীত']
ক্রীত,['কৃত']
কৃত্য-,['কৃত্তয']
কৃত্তয,['কৃত্য-']
কোন,['কোণ']
কোণ,['কোন']
কালি,['কালী']
কালী,['কালি']
গিরিশ,['গিরীশ']
গিরীশ,['গিরিশ']
চির,['চীর']
চীর,['চির']
চ্যুত,['চুত']
চুত,['চ্যুত']
চতুর,['চতুর']
চাষ,['চাস']
চাস,['চাষ']
গোলক,['গোলোক']
গোলোক,['গোলক']
জড়,['জ্বর']
জ্বর,['জড়']
জাম,['যাম']
যাম,['জাম']
জ্যোতি,['যতি']
যতি,['জ্যোতি']
জাল,['জ্বাল']
জ্বাল,['জাল']
কুশাসন,['কু-শাসন']
কু-শাসন,['কুশাসন']
কীর্তিবাস,['কৃত্তিবাস']
কৃত্তিবাস,['কীর্তিবাস']
করি,['করী']
করী,['করি']
জব,['যব']
যব,['জব']
জাত,['যাত']
যাত,['জাত']
জ্বালা,['জালা']
জালা,['জ্বালা']
টিকা,"['টাকা', 'টীকা']"
টাকা,['টিকা']
তত্ত্ব,['তথ্য']
তথ্য,['তত্ত্ব']
তরা,['ত্বরা']
ত্বরা,['তরা']
তরণী,['তরুণী']
তরুণী,['তরণী']
দার,['দ্বার']
দ্বার,['দার']
দীন,['দিন']
দিন,['দীন']
দীপ,"['দ্বীপ', 'দ্বিপ']"
দ্বিপ,"['দীপ', 'দ্বীপ']"
দ্বীপ,"['দীপ', 'দ্বিপ']"
দুত,['দ্যুত']
দ্যুত,['দুত']
দেশ,['দ্বেষ']
দ্বেষ,['দেশ']
দৈত্য,['দ্বৈত']
দ্বৈত,['দৈত্য']
দিননাথ,['দীননাথ']
দীননাথ,['দিননাথ']
দ্বারা,['দারা']
দারা,['দ্বারা']
দেবত্ব,['দেবত্র']
দেবত্র,['দেবত্ব']
দুকুল,['দুকুল']
ধরা,"['ধড়া', 'ধড়া']"
ধড়া,['ধরা']
ধনী,['ধ্বনি']
ধ্বনি,['ধনী']
ধূম,['ধুম']
ধুম,['ধূম']
নিতি,['নীতি']
নীতি,['নিতি']
নীর,"['নীড়', 'নীড়']"
নীড়,['নীর']
নিশিত,['নিরীথ']
নিরীথ,['নিশিত']
নিবার,['নীবার']
নীবার,['নিবার']
নুন,['ন্যুন']
ন্যুন,['নুন']
পরশ্ব,['পরস্ব']
পরস্ব,['পরশ্ব']
পরুষ,['পুরুষ']
পুরুষ,['পরুষ']
পরিচ্ছদ,['পরিচ্ছেদ']
পরিচ্ছেদ,['পরিচ্ছদ']
পৃষ্ট,['পৃষ্ঠ']
পৃষ্ঠ,['পৃষ্ট']
পক্ষ,['পদ্ম']
পদ্ম,"['পদ্য', 'পক্ষ']"
পদ্য,['পদ্ম']
প্রকার,['প্রাকার']
প্রাকার,['প্রকার']
প্রসাদ,['প্রাসাদ']
প্রাসাদ,['প্রসাদ']
পরিষদ,['পারিষদ']
পারিষদ,['পরিষদ']
পাণি,['পানি']
পানি,"['পানী', 'পাণি']"
প্রকৃত,['প্রাকৃত']
প্রাকৃত,['প্রকৃত']
প্রমাদ,['প্রমোদ']
প্রমোদ,['প্রমাদ']
বসন,['ব্যসন']
ব্যসন,['বসন']
বলি,['বলী']
বলী,['বলি']
বাণ,['বান']
বান,['বাণ']
বানি,['বাণী']
বাণী,['বানি']
বিজন,['বীজন']
বীজন,['বিজন']
বিষ,"['বিস', 'বিশ']"
বিশ,"['বিস', 'বিষ']"
বিস,"['বিষ', 'বিশ']"
বিনা,['বীণা']
বীণা,['বিনা']
বেদ,['বেধ']
বেধ,['বেদ']
বধ্য,['বদ্ধ']
বদ্ধ,['বধ্য']
বিকৃত,['বিক্রীত']
বিক্রীত,['বিকৃত']
ভাসা,['ভাষা']
ভাষা,['ভাসা']
ভান,['ভাণ']
ভাণ,['ভান']
মন,['মণ']
মণ,['মন']
মাস,['মাষ']
মাষ,['মাস']
মুখ,['মুক']
মুক,['মুখ']
মেদ,['মেধ']
মেধ,['মেদ']
অন্ন,['অন্য']
অনিষ্ট,['অনিষ্ঠ']
অনিষ্ঠ,['অনিষ্ট']
অর্ঘ,['অর্ঘ্য']
অসক্ত,['অশক্ত']
অবধ্য,['অবোধ্য']
অবোধ্য,['অবধ্য']
অপরিণত,['অপরিণীত']
অপরিণীত,['অপরিণত']
অন্যন্য,['অন্যোন্য']
অন্নপুষ্ট,['অন্যপুষ্ট']
অপচয়,['অবচয়']
অবচয়,['অপচয়']
অবিনীত,['অভিনীত']
অভিনীত,['অবিনীত']
আশা,['আসা']
আসা,['আশা']
আষাঢ়,['আসার']
আসার,['আষাঢ়']
কাক,['কাঁখ']
কাঁখ,['কাক']
কপাল,['কপোল']
কপোল,['কপাল']
খাট,['খাটো']
খাটো,['খাট']
খুর,['ক্ষুর']
ক্ষুর,['খুর']
গা,['গাঁ']
গাঁ,['গা']
গাদা,['গাধা']
গাধা,['গাদা']
গোকুল,['গোকুল']
ঘোড়া,['ঘোরা']
ঘোরা,['ঘোড়া']
চাখড়ি,['চাকরি']
চাকরি,['চাখড়ি']
চাল,['চাল']
ছার,['ছাড়']
ছাড়,['ছার']
ছাদ,['ছাঁদ']
ছাঁদ,['ছাদ']
জল,['জ্বল']
জ্বল,['জল']
জিব,['জীব']
জীব,['জিব']
টীকা,['টিকা']
টেকা,['টেক্কা']
টেক্কা,['টেকা']
ঠক,['ঠক']
ডোল,['ঢোল']
ঢোল,['ডোল']
ডাল,['ডাল']
ঢাল,['ঢাল']
ধড়া,['ধরা']
ধাতৃ,['ধাত্রী']
ধাত্রী,['ধাতৃ']
নীড়,['নীর']
নিত্য,['নৃত্য']
নৃত্য,['নিত্য']
নিরাশ,['নিরাস']
নিরাস,['নিরাশ']
নিরস্ত্র,['নিরস্ত']
নিরস্ত,['নিরস্ত্র']
পানী,['পানি']
প্রদান,['প্রধান']
প্রধান,['প্রদান']
পরা,['পড়া']
পড়া,['পরা']
পান,['পান']
পালক,['পলক']
পলক,['পালক']
পরভৃত,['পরভৃৎ']
পরভৃৎ,['পরভৃত']
ফি,['ফি']
বর্ষা,['বর্শা']
বর্শা,['বর্ষা']
বর,['বড়']
বড়,['বর']
বল,['বল']
ভাষণ,['ভাসন']
ভাসন,['ভাষণ']
ভারা,['ভাড়া']
ভাড়া,['ভারা']
মরা,['মড়া']
মড়া,['মরা']
মূর্খ,['মুখ্য']
মুখ্য,['মূর্খ']
মোড়ক,['মড়ক']
মড়ক,['মোড়ক']
যোগ্য,['যজ্ঞ']
যজ্ঞ,['যোগ্য']
রচক,['রোচক']
রোচক,['রচক']
রাধা,['রাঁধা']
রাঁধা,['রাধা']
লক্ষ,['লক্ষ্য']
লক্ষ্য,['লক্ষ']
লব্ধ,['লুব্ধ']
লুব্ধ,['লব্ধ']
লক্ষণ,['লক্ষ্মণ']
লক্ষ্মণ,['লক্ষণ']
শরণ,['স্মরণ']
স্মরণ,['শরণ']
শক্ত,['সক্ত']
সক্ত,['শক্ত']
শয্যা,['সজ্জা']
সজ্জা,['শয্যা']
শকল,['সকল']
সকল,['শকল']
শীত,['সিত']
সিত,['শীত']
শব,['সব']
সব,['শব']
শিকার,['স্বীকার']
স্বীকার,['শিকার']
সর্গ,['স্বর্গ']
স্বর্গ,['সর্গ']
সহিত,['স্ব-হিত']
স্ব-হিত,['সহিত']
সাড়া,['সারা']
সারা,['সাড়া']
সাক্ষর,['স্বাক্ষর']
স্বাক্ষর,['সাক্ষর']
হাড়,['হার']
হার,['হাড়']
হাঁস,['হাস']
হাস,['হাঁস']
হুতি,['হূতি']
হূতি,['হুতি']
