correct_sentence,matched_token
"সামাজিক প্রতিরোধ কমিটি: বর্ষবরণ অনুষ্ঠানে নারীদের ওপর হামলাকারী ও লাঞ্ছনাকারীদের গ্রেপ্তারের দাবিতে ছাত্রছাত্রীদের কর্মসূচিতে পুলিশি হামলার প্রতিবাদে মানববন্ধন, বেলা তিনটায়, জাতীয় প্রেসক্লাবের সামনে",কমিটি
গত ১১ জুলাই পশ্চিমবঙ্গের উত্তর ২৪ পরগনা জেলার গাইঘাটা থানার আংরাইলের ক্ষেতপাড়া সীমান্ত পেরিয়ে বাংলাদেশে ঢোকার সময় বিএসএফের হাতে গ্রেপ্তার হয় পুত্রসহ ৩০ বছর বয়সী ওই নারী,জুলাই
"যত দিন বাংলা সাংবাদিকতা থাকবে, তত দিন তাঁর নাম উচ্চারিত হবে",নাম
ময়মনসিংহ সিটি করপোরেশন নির্বাচনে মেয়র পদে আওয়ামী লীগের প্রার্থী মো. ইকরামুল হক বিনা প্রতিদ্বন্দ্বিতায় নির্বাচিত হওয়ার পথে,সিটি
"কিন্তু আফগান অধিনায়কের বোকামি, স্বার্থপরতা যাই বলুন না কেন সেসবের এখানেই শেষ নয়",শেষ
ব্রাহ্মণবাড়িয়া সদর উপজেলায় লুৎফা বেগম (২১) নামের এক নববধূর ঝুলন্ত লাশ উদ্ধার করা হয়েছে,নামের
এথিকস অ্যাডভান্সড টেকনোলজিস লিমিটেড (ইএটিএল) ও প্রথম আলোর আয়োজনে গত বছরের জুলাই মাস থেকে শুরু হয়েছে এই প্রতিযোগিতা,অ্যাডভান্সড
দাবি আদায়ে আগামী ১১ অক্টোবর সচিবালয় ঘেরাও কর্মসূচি পালন করবেন,অক্টোবর
আরেকটি ভালো হাসপাতাল হচ্ছে ঢাকা মানসিক স্বাস্থ্য ইনস্টিটিউট,ইনস্টিটিউট
এ ছাড়া সমর্থকদের জন্য রাখা হয়েছে বিশ্বকাপের ট্রফি জয়ের ইভেন্ট,ইভেন্ট
"ইন্দোনেশিয়ার রেডক্রসের মুখপাত্র অলিয়া আরিয়ানি বার্তা সংস্থা রয়টার্সকে বলেন, ওই শিশুরা বাইবেল ক্যাম্পে যোগ দিয়েছিল",যোগ
এরপর বিকেল পাঁচটায় নিবন্ধিত প্রাক্তন শিক্ষার্থীদের অভ্যর্থনা দেওয়া হবে নগরের জিইসি কনভেনশন সেন্টারে,সেন্টারে
কিন্তু ঠিকাদারি প্রতিষ্ঠান তাদের কাজে গড়িমসি করছে বলে সিটি করপোরেশনের নির্বাহী প্রকৌশলী আজম আলী গতকাল শনিবার মুঠোফোনে প্রথম আলোকে জানিয়েছেন,সিটি
"এ ছাড়া তিনি অবৈধ অভিবাসীদের বহিষ্কারের অঙ্গীকার করেছেন, ওবামা প্রায় সাড়ে সাত লাখ বৈধ কাগজপত্রবিহীন অভিবাসীর স্বল্পকালীন স্বস্তির যে ব্যবস্থা করেছিলেন, নির্বাহী আদেশের মাধ্যমে তাও বাতিল করার ক্ষমতা রয়েছে তাঁর",যে
সকাল সাড়ে আটটার দিকে শেষ হয় এ জানাজা,শেষ
"ফরিদউদ্দিনের সঙ্গে বন্ধুত্বের বিষয়ে জানতে চাইলে আতাউর রহমান গতকাল রাতে প্রথম আলোকে বলেন, ‘বন্ধুত্ব ঠিক আছে",রাতে
এর মধ্যে বিজনেস ক্লাস ২৪টি আর ২৪৭টি ইকোনমি ক্লাস,ক্লাস
২০০৯ সালে সাবেক মেয়র শওকত হোসেন সিটি বাস চালু করেছিলেন,সালে
"জয় শাহরিয়ার জানিয়েছেন, ভালোবাসা দিবস উপলক্ষে অ্যালবামটি সিডি আকারে বাজারে ছাড়ছে সিএমভি",সিডি
কক্ষে রাতে ঠিকমতো ঘুম হয় না,রাতে
"পাশাপাশি গত কয়েক দিনের ক্রসফায়ার ও এনকাউন্টারের শিকারদের দিকে লক্ষ করলে দেখা যায়, দেশের নামকরা বা চিহ্নিত বড় মাদক ব্যবসায়ীরা কিন্তু ধরাছোঁয়ার বাইরে",বা
মাস দেড়েক আগে আমি ঈশ্বরদীর মুলাডুলি গিয়েছিলাম,মাস
বৃশ্চিক (২৪ অক্টোবর—২২ নভেম্বর)বেকারদের কারও কারও কর্মসংস্থানের সম্ভাবনা আছে,নভেম্বর
আবারও ব্যস্ততার চাপ নিতে মন চায় না,মন
প্রেমআমি তখন সায়েন্স ল্যাবরেটরিতে বিসিএসআইআর স্কুলে ষষ্ঠ বা সপ্তম শ্রেণির শিক্ষার্থী,বা
"৩৯ পয়েন্ট নিয়ে দুইয়ে অ্যাটলেটিকো মাদ্রিদ, ৩৭ পয়েন্ট নিয়ে তিনে ভ্যালেন্সিয়া",পয়েন্ট
আজকের মধ্যেই কাজ শেষ হবে বলে তিনি জানান,শেষ
কিন্তু সেই সাময়িক অবস্থা কাটতে সময় লেগেছিল সাড়ে চার বছর,সেই
শুধু দোকানে বসে থাকলে পরিবারের খরচ জোগাতে পারবেন না,বসে
তাঁদের মত হচ্ছে—গঠিত নির্বাচন কমিশন হতে হবে প্রথমেই বিতর্কমুক্ত,কমিশন
যেকোনো ব্যাটিং পজিশনে স্মিথের চেয়ে কম স্ট্রাইকরেটের ইনিংস আছে মাত্র দুটি,কম
ট্রাম্পের নিজের পরিবারও মাত্র তিন প্রজন্ম আগে এ দেশে এসেছে,তিন
"কেবল সোনালী ব্যাংক নয়, রাষ্ট্রায়ত্ত জনতা, অগ্রণী, কৃষি, রূপালী ও বাংলাদেশ ডেভেলপমেন্ট ব্যাংকে এবং বাংলাদেশ হাউস বিল্ডিং ফাইন্যান্স করপোরেশনে কমপক্ষে ২৫ ধরনের পদে নিয়োগের বিজ্ঞপ্তি প্রকাশ করা হয়েছে",ডেভেলপমেন্ট
বকুলতলায় সকাল ৭টা ১ মিনিট থেকে সকালের অনুষ্ঠানমালা শুরু হয়ে প্রথম পর্ব সকাল ৯টায় নবান্ন শোভাযাত্রার মাধ্যমে শেষ হবে,শেষ
৫-২০ ফেস টু ফেস,ফেস
মাসিক ৪০ হাজার থেকে এক লাখ টাকা পর্যন্ত করযোগ্য আয় আছে এমন চাকরিজীবীদের বেলায় কর বাড়বে ২৭ থেকে ৫১৪ শতাংশ পর্যন্ত,মাসিক
বর্তমানে তিনি রাশিয়ার রাজধানী মস্কোতে হোটেল ব্যবসা করেন,হোটেল
"যেকোনো ভ্রমণে সড়ক, বিমান বা জলপথে টিকিট পাওয়ার ক্ষেত্রে তাঁরা অগ্রাধিকার পাবেন",বা
এই অভিযান কবে শেষ হবে আমরা জানি না,শেষ
"কিন্তু এবার রোনালদোর পাশে তাঁকে না দেখে অনেকেরই প্রশ্ন জেগেছে, দুজনের কি কিছু হয়েছে? রোনালদো পুরস্কার পাওয়ার পর পরিবারের অনেকের কথা বললেও সঙ্গিনীর নাম মুখেও আনেননি",এবার
এ ক্ষেত্রে কাগজের ফরম থেকে ইলেকট্রনিক পদ্ধতিতে তথ্য সংগ্রহ করার কথা বলা হয়,ইলেকট্রনিক
"সেই সঙ্গে বাড়ে অভ্যন্তরীণ করতোয়া, বড়াল, ফুলঝোড় ও ইছামতী নদীর পানি",সেই
ঠিকানা: www.facebook.com/Shong-সঙআজকের ডিলঅনলাইন কেনাকাটা আরও সহজ করতে ই-কমার্স সাইট আজকের ডিলে যুক্ত হয়েছে নতুন ফিচার,সাইট
এর আগে নিউজিল্যান্ডের বিপক্ষে টান টান উত্তেজনার ম্যাচে ৫ ওভার বল করে ৩২ রান দিয়ে পাননি কোনো উইকেট,রান
এ ছাড়া ঈদের পরে কক্সবাজার রুটে প্রতিদিন অতিরিক্ত তিন থেকে চারটি ফ্লাইট থাকছে,তিন
এরপর আরও পাঁচ-ছয় দিন থেকে মেজবাও ঢাকায় চলে যান,যান
গিয়াসউদ্দিন আল মামুনকে ২০০৭ সালের ৩১ জুলাই গ্রেপ্তার করা হয়,আল
"তাতে বলা হয়, সেপ্টেম্বরের শেষে পশ্চিমা স্বার্থে জঙ্গিরা হামলা চালাতে পারে বলে নির্ভরযোগ্য তথ্যের বরাত দিয়ে অস্ট্রেলিয়া ও যুক্তরাজ্য সরকার বাংলাদেশে তাদের নাগরিকদের সতর্ক করেছে",অস্ট্রেলিয়া
এডিসন হেলথ কেয়ারের চেয়ারম্যান অধ্যাপক এম হারুনুর রশীদ এবং প্রগতি ইনস্যুরেন্স লিমিটেডের ব্যবস্থাপনা পরিচালক ও সিইও মো. মনিরুল ইসলাম নিজ নিজ প্রতিষ্ঠানের পক্ষে চুক্তিতে স্বাক্ষর করেন,হেলথ
একই দিন শেরপুরের নালিতাবাড়ী উপজেলায় তৌফিক হাসান (১৪ মাস) নামের এক শিশুর মৃত্যু হয়েছে,মাস
"ভালুকা মডেল থানার ভারপ্রাপ্ত কর্মকর্তা (ওসি) মামুন অর রশিদ বলেন, লাশ ময়নাতদন্তের জন্য ময়মনসিংহ মেডিকেল কলেজ হাসপাতালে পাঠানো হয়েছে",মডেল
এই তিন দেশের একটির ভাষাও দিয়েও দিব্যি কাজ চালিয়ে নেওয়া যায়,তিন
রেজারের আগে কয়েকটি প্রতিষ্ঠান গেমভিত্তিক মোবাইল ফোন তৈরির চেষ্টা করেছিল,মোবাইল
গত বছরের ২০ মে কুষ্টিয়ায় বাউল অনুসারী হোমিও চিকিৎসক মীর সানাউর রহমান এবং ৫ জুন নাটোরের খ্রিষ্টানপল্লির ক্ষুদ্র ব্যবসায়ী সুনীল গোমেজ হত্যাসহ বিভিন্ন জঙ্গি হামলায় জড়িত ছিলেন এই মুসা,মে
কিন্তু আজকাল প্রাকৃতিক রং বা ন্যাচারাল ডাই হয়ে উঠেছে চলতি কেতা,বা
"ডিএসই ওয়েবসাইট সূত্রে জানা যায়, দুপুর ১২টা পর্যন্ত ডিএসইতে লেনদেনের পরিমাণ ৪৪০ কোটি টাকা, যা গত কার্যদিবসের চেয়ে বেশি",ওয়েবসাইট
দস্তখতের পরেই কর্মকর্তারা বুঝতে পেরেছেন শেষ পর্যন্ত কী হবে,শেষ
"উদ্যোক্তারা জানিয়েছেন, বর্তমান বাজারে প্রাপ্ত মণিপুরি তাঁতশিল্পজাত পণ্যসমূহের অধিকাংশই পলিয়েস্টার বা টেট্রন সুতা দিয়ে তৈরি",বা
সিটি করপোরেশনের পক্ষ থেকে পানি ছিটানোর কথা বলা হলেও বাস্তবে দেখা যায়নি বলে কয়েকজন মুসল্লি অভিযোগ করেন,সিটি
উহ্লা থেন (৩৫) নামের এক ব্যক্তি গত ২৬ এপ্রিল বেলা সাড়ে তিনটার দিকে উত্তরা ৩ নম্বর সেক্টরের মাঠে হাঁটতে গিয়ে আর বাসায় ফেরেননি,নামের
"মজার ব্যাপার, পাঁচে থাকা রাজশাহী কিংসের সংগ্রহও ১০ পয়েন্ট",পয়েন্ট
অন্ধকারের সাথি বলতে আমাদের সেই গোলগাল ছেলে,সেই
সরকারের ১৯৬৪ সালের রুলস অব বিজনেস পরিবর্তনের দাবি তোলা হয়,রুলস
মাত্র তিন দিন বয়সে শরীরে অস্ত্রোপচার করতে হয়,তিন
ফলে এক টেস্ট বাকি থাকতে সিরিজ জিতে গেল ভারত (২–০),টেস্ট
ওই ঘটনার পর সাধারণ শিক্ষার্থীদের সঙ্গে ছাত্রলীগ নেতারা যোগ দিয়ে অধ্যক্ষের শাস্তি ও বিচারের দাবিতে বিক্ষোভ মিছিল ও সমাবেশ করে,যোগ
"যদি হোটেলের ভাড়া দিতে নববিবাহিত দম্পতির পরিবার অক্ষম হয়, তবে তা পরিশোধ করে পঞ্চায়েত কমিটি",কমিটি
আন্তর্জাতিক সংস্থা সিপি বাংলাদেশ কোম্পানি লিমিটেডের উদ্যোগে এবং বিশ্ববিদ্যালয়ের ভেটেরিনারি ও ফিশারিজ অনুষদের আয়োজনে বিশ্ববিদ্যালয়ে প্রথমবারের মতো এ ধরনের আয়োজন করা হয়,কোম্পানি
কলকাতায় এবার সর্বজনীন পূজা হচ্ছে ২ হাজার ৬০০ আর রাজ্যে ৩০ হাজার,এবার
"মুস্তাফিজের কাছে বিধ্বস্ত হওয়ার স্মৃতি এখনো টাটকা আছে বলেই স্রানের দ্রুত উত্থান, জাতীয় দলে জায়গা করে নেওয়ার পর ভারতীয় মিডিয়া তাঁর নাম দিয়েছিল এমন",হওয়ার
শেষ পর্যন্ত ভেরোনিকার জন্ম দেওয়া সন্তানের পিতৃত্ব মেনে নিলেও ছেলেকে জনসম্মুখে আনার ব্যাপারে আপত্তি ছিল ম্যারাডোনার,শেষ
প্রখ্যাত লেখক ভি এস নাইপলের আসার কথা থাকলেও স্বাস্থ্যগত কারণে এ উৎসবে তিনি আসতে পারছেন না,ভি
"যেহেতু প্যানক্রিয়াস বা অগ্ন্যাশয় হজমের মূল এনজাইমগুলো নিঃসরণ করে, তাই প্যানিক্রিয়াসের প্রদাহ, পাথর বা টিউমারে হজমশক্তি রহিত হয়",বা
তাঁর ২৪ রানের ইনিংসের পুরোটাই ছিল সিঙ্গেল থেকে নেওয়া!* কৃপণতম বোলার ছিলেন আফগানিস্তানের আমির হামজা,সিঙ্গেল
"২-৩ মিনিটের মধ্যে থানার ভেতরের একটি কক্ষ থেকে অস্ত্র চুরি হয়অস্ত্র বহনকারী এএসআই তখন শৌচাগারে ছিলেন২৫-২৬ বছরের এক যুবক ঘটনার দিন দুবার থানায় এসেছিলেনতাঁর পরনে ছিল খয়েরি-সাদা চেক শার্ট, কফি রঙের প্যান্ট, মুখে দাড়ি, কাঁধে কালো ব্যাগবিকেল ৪টা ২৩ মিনিটে থানার পেছনের মসজিদের গেট দিয়ে আবার থানায় আসেন যুবক",চেক
বিরোধী দল হিসেবে জাতীয় পার্টি একটি ইতিবাচক রাজনীতি দেওয়ার চেষ্টা করেছে,পার্টি
অ্যান্ড্রয়েড জেলি বিন অপারেটিং সিস্টেমের এই ট্যাবটি আট জিবি ইন্টারনাল মেমোরি সাপোর্ট করে যা ৩২ জিবি পর্যন্ত বাড়ানোর সুবিধাও রয়েছে,সাপোর্ট
"ওই নারীর আইনজীবী মোহাম্মদ রফিকুল ইসলাম প্রথম আলোকে বলেন, ক্রিকেটার সানির সঙ্গে বাদীর বিয়ে হয় ২০১৪ সালের ৪ ডিসেম্বর",ডিসেম্বর
গত বৃহস্পতিবার মির্জা ফখরুল ইসলাম আলমগীরকে হয়রানি বা গ্রেপ্তার না করতে হাইকোর্টের দেওয়া আদেশের কার্যকারিতা স্থগিত করেন আপিল বিভাগ,বা
অনন্ত-বাদালশো আর খালকুলা গ্রাম দুটি ঝিনাইদহের শৈলকুপা পৌরসভার ৬ নম্বর ওয়ার্ডের অন্তর্ভুক্ত,নম্বর
"ষষ্ঠ অভিযোগ, ১১ ডিসেম্বর হাসান আলী ৩০-৪০ জন রাজাকার ও পাকিস্তানি সেনাদের সঙ্গে নিয়ে সাচাইল গ্রামের শতাধিক ঘরে অগ্নিসংযোগ করে এবং গ্রামের আবদুর রশিদকে হত্যা করে",ডিসেম্বর
এ জন্য জ্বালানি তেল সরবরাহে যাতে বিঘ্ন না ঘটে সে জন্য বিপিসিকে অনুরোধ জানানো হয়,তেল
দিনাজপুর মেডিকেল কলেজ হাসপাতালে ভর্তি করা হয় সাঈদকে,মেডিকেল
"শেন ওয়ার্নকেই দেখুন, ফেসবুকে একটা ভিডিও পোস্ট করে এখন তাসমানিয়ান পুলিশের তদন্তের মুখে পড়েছেন অস্ট্রেলিয়ান স্পিন কিংবদন্তি ও তাঁর সঙ্গীরা",ভিডিও
১০ জুন নির্বাচন কমিশনের ঘোষিত তফসিলের বৈধতা চ্যালেঞ্জ করে চিলমারী উপজেলার রমনা ইউনিয়নের বাসিন্দা এস এম মোস্তাফিজুর রহমান ১৮ জুলাই রিটটি করেন,জুন
যোগ্যতা: উচ্চমাধ্যমিক পরীক্ষায় দ্বিতীয় বিভাগ এবং কম্পিউটারে (এমএস ওয়ার্ড) পারদর্শী হতে হবে,ওয়ার্ড
এরই ধারাবাহিকতায় ৫ ডিসেম্বর জাতিসংঘ মানবাধিকার কাউন্সিলে রোহিঙ্গা নির্যাতন নিয়ে বিশেষ অধিবেশনে মিয়ানমারের বিরুদ্ধে প্রস্তাব পাস হতে যাচ্ছে,ডিসেম্বর
গত নভেম্বরে মিয়ানমার সফরকালে প্রেসিডেন্ট বারাক ওবামা প্রথমবারের মতো নির্দিষ্টভাবে প্রেসিডেন্ট থেইন সেইনের সঙ্গে আলোচনায় রোহিঙ্গাদের দুঃখ-কষ্টের কথা উল্লেখ করেন,প্রেসিডেন্ট
"গানের আসর, সম্মাননা ও পুরস্কার প্রদানের মধ্য দিয়ে গতকাল শনিবার শেষ হলো রবীন্দ্রসংগীত শিল্পী সংস্থা আয়োজিত পাঁচ দিনের জাতীয় রবীন্দ্রসংগীত উৎসব",শেষ
"প্রথম সিরিজ জয়ের তারিখটা ছিল ১৮ জানুয়ারি, ২০০৫—সময়ের ডানায় চড়ে সেটির এক যুগ পূর্তি আজ",সিরিজ
আগামী অর্থবছরের বাজেটে পোশাক রপ্তানির এফওবি (ফ্রেইড অন বোর্ড) মূল্যের ওপর দেড় শতাংশ হারে উৎসে কর কর্তনের প্রস্তাব করা হয়,বোর্ড
ভারতের প্রত্যাশা বাংলাদেশের গণতান্ত্রিক পরিবেশ যেন বজায় থাকে,যেন
দলটির ক্যামেরাম্যান তুলছিলেন সেই ছবি,সেই
টেলিভিশন শাখায় এ বছর এগিয়ে আছে দ্য কমিনস্কি মেথড ও দ্য অ্যাসাসিনেশন অব গিয়ান্নি ভারসাচি: আমেরিকান ক্রাইম স্টোরি নামের টিভি প্রযোজনা দুটি,মেথড
"সেটা যে কত আনন্দের, বোঝাতে পারব না",যে
ঘূর্ণিঝড়ের সম্ভাব্য আঘাতস্থল উপকূলীয় সব জেলায় মোট প্রায় তিন হাজার আশ্রয়কেন্দ্র প্রস্তুত রাখা হয়,তিন
বেক্সিমকো ফার্মাসিউটিক্যালস লিমিটেড ১৫ শতাংশ ক্যাশ ডিভিডেন্ড বা নগদ লভ্যাংশ দিয়েছে,লিমিটেড
"সিন্ডিকেটের সদস্য নুরুল হক জানান, গতকাল বুধবার রাতে সিন্ডিকেট সভায় ডিসিপ্লিনারি বোর্ডের সুপারিশ কার্যকর হয়",রাতে
ঢাকায় তিন দিনের পাটজাত পণ্যের মেলা করতে যাচ্ছে বস্ত্র ও পাট মন্ত্রণালয়,তিন
"এই ভারসাম্য এভাবে রক্ষা করা যাবে যে এমন একটা আইন করা হলো, যাতে ন্যূনতম শাস্তি সাত বছর কারাদণ্ড, যেখানে অভিযুক্তের জামিন পাওয়ার বিধান থাকবে না, কোনো ধরনের সুরক্ষা ব্যতিরেকেই যেকোনো সময় অভিযুক্তকে গ্রেপ্তার করা যাবে? তো ২০০৬ সালের আইনটিতে তিন-চার ধরনের সংশোধনী এনে এমন একটা পরিস্থিতি তৈরি করা হলো, যা খুবই বিপজ্জনক",যে
"এ ছাড়া বিচারক তাঁকে এক লাখ টাকা জরিমানা, অনাদায়ে আরও তিন বছরের সশ্রম কারাদণ্ডের আদেশ দেন",তিন
"২০১৮ সালে জাতীয় নির্বাচন সামনে রেখে সরকারি ও বেসরকারি, এমপিওভুক্ত ও বহির্ভূত, ক্যাডার ও নন-ক্যাডার-সব শিক্ষক নিজ নিজ দাবি নিয়ে সক্রিয় হয়ে উঠেছেন",সালে
প্রথা অনুযায়ী নির্বাচকদের দল আনুষ্ঠানিকভাবে ঘোষণার আগে সেটি বোর্ড সভাপতি অনুমোদন করেন,বোর্ড
অফিস শেষে বাসায় ফিরতে সন্ধ্যা,অফিস
ওয়েবসাইট ভিজিট করতে গ্রাহকরা যেতে পারেন www. gpmusic.co এই ঠিকানায়,ওয়েবসাইট
"মাঠ ছাড়ার সময় দলের এক ক্রিকেটার গজরাতে গজরাতে বলছিলেন, ‘বাউন্সার দেওয়ার জন্য স্কয়ার লেগ, লং লেগে দুজন ফিল্ডার বাউন্ডারিতে রাখা হলো অথচ বল করল ফুল লেংথ...",লং
শেষ পর্যন্ত এলজিইডি উদ্যোগ না নিলে পরিষদের তহবিল থেকেই কালভার্টটি মেরামত করা হবে,শেষ
"দুর্ঘটনার পর উদ্ধার অভিযানে সেনাবাহিনী, পুলিশ, বিজিবি ও ফায়ার সার্ভিসের কর্মীরাও যোগ দেন",ফায়ার
বাঙালি সংখ্যাগরিষ্ঠ ত্রিপুরায় ১৯৯৩ থেকে ক্ষমতায় রয়েছে মার্ক্সবাদী কমিউনিস্ট পার্টি বা সিপিএমের নেতৃত্বাধীন বাম ফ্রন্ট,পার্টি
তাঁর বয়স হয়েছিল ৬১ বছর,বয়স
দাবি আদায়ে কাল শুক্রবার প্রেসক্লাবের সামনে অবস্থান কর্মসূচি পালন করবে সংগ্রাম কমিটি,কমিটি
"আজব ব্যাপার হলো, যে দলটা বিশ্বকাপেই নেই তারা শিরোপা জয়ের সম্ভাবনায় রাশিয়া (১.৬), পোল্যান্ড (০.৯), কলম্বিয়া (০.৫) কিংবা সুইডেনের চেয়ে এগিয়ে! ইতালির কথাই বলা হচ্ছে",যে
"সবাই তো সুখী হতে চায়—মান্না দের সেই চিরন্তন গানের কথা যদি আসলেই বাস্তব হতো! ইশ্‌! সুখ—কোথায়? মনোবিজ্ঞান বলে, উৎফুল্ল জীবনই আপনি কতটা সুখী অনেকটা তাই প্রকাশ করে",সেই
"গোবিন্দ চন্দ্র বলেন, ১৯৯৬ সালে স্পেন থেকে তিনি অ্যালার্জির ওপর প্রশিক্ষণ নিয়েছিলেন",সালে
"পাবলিক পরীক্ষায় অংশগ্রহণ করবে এবং এই মা ও বাবা এভাবেই বলবেন, তোমাকে জিপিএ–৫ পেতে হবে",পাবলিক
"পাকিস্তানকে স্পষ্ট জানানো হয়েছে, ভারতীয় বিমানবাহিনীর সদস্যের কোনো ক্ষতি যেন না হয়",যেন
হলিউডের গিটার সেন্টারে বিখ্যাত সংগীতশিল্পীদের বাদ্যযন্ত্রের পাশাপাশি রয়েছে তাদের হাতের ছাপ,সেন্টারে
ঢাকা বিশ্ববিদ্যালয়ের হিসাববিজ্ঞান বিভাগ থেকে¯স্নাতকোত্তর ডিগ্রি অর্জনের পর ১৯৮৮ সালে পূবালী ব্যাংকে শিক্ষানবিশ অফিসার হিসেবে কর্মজীবন শুরু হয় মো. নূরুল হক গাজীর,সালে
তখন যেন এক শ্রেণিসম্মিলন ঘটেছিল,যেন
৮-৩০ ট্রান্সফরমারস (মার্ক ওয়ালবার্গ),মার্ক
৯০-এর দশকজুড়ে ২০০০ সালের শুরু পর্যন্ত জনপ্রিয় ফোন ছিল পাম,ফোন
লাল ও সবুজ রঙা লেস একটার ওপর আরেকটা বসিয়ে নিন,লেস
ছয় মাস ধরে বাচ্চা থলিতেই থাকে,মাস
তৌহিদুরের পরিবারের লোকজন ঘটনাটি পুলিশকে জানালে নলডাঙ্গা থানার উপপরিদর্শক (এসআই) শহিদুল ইসলাম ও আবদুল হাই ঘটনাস্থলে যান,হাই
"তারপর চাকরি নামের এ যুদ্ধে নেমে কখন যে ৩০ বছর পার হয়ে যায়, টেরও পাই না",নামের
২০১৫ সালে অবসরে যাওয়ার পর কর্মসংস্থান ব্যাংকের চেয়ারম্যান ছিলেন তিনি,সালে
"তিনি বলেন, সংসদীয় কমিটির তলবের বিষয়ে সিদ্ধান্ত নেবে কমিশন",কমিশন
জোনাকী সিনেমা হলের অন্যতম উদ্যোক্তা মো. তাজুল ইসলাম দুই মাস আগে বুকিং দিয়েছিলেন রংবাজ ছবিটির জন্য,মাস
"পরিশোধিত হওয়ার পরও পানির এই অবস্থা কেন? জানতে চাইলে পাগলা পয়ঃশোধনাগারের নির্বাহী প্রকৌশলী হুমায়ুন কবীর বলেন, এখানে পরিশোধন করা হয় সূর্যের আলোর মাধ্যমে",হওয়ার
"প্রতিপক্ষ জুভেন্টাস, ১৯৯৮ সালে যে দলকে হারিয়ে তারা জিতেছিল ৭ম চ্যাম্পিয়নস লিগ শিরোপা",সালে
রাতে নিলামে এসব পণ্যের দর ওঠে সাড়ে ১৭ হাজার টাকা,রাতে
গতকাল সিলেট আন্তর্জাতিক স্টেডিয়ামে অনুশীলন শেষে প্রথম আলোর সঙ্গে রোডসের আলাপচারিতায় উঠে এল বেশ কিছু প্রসঙ্গই,বেশ
"কিন্তু য়ুবান-শি-কাই নামক এক সেনাপতি জমিদার, বণিক, উচ্চপদস্থ সামরিক কর্মকর্তা এবং সরকারি আমলাদের সাথে ষড়যন্ত্র করে সান ইয়াৎ সেনকে ক্ষমতা ছেড়ে দিতে বাধ্য করে",সান
"গতকাল পরীক্ষাগারে টেস্ট করাতে গেলে সেখান থেকে জানানো হয়, বিনা মূল্যে টেস্ট করাতে হলে প্রশাসনিক ভবন থেকে স্বাক্ষর নিয়ে আসতে হবে",টেস্ট
"যশোর জেনারেল হাসপাতালের সহকারী রেজিস্ট্রার বজলুর রশীদ প্রথম আলোকে বলেন, ভোঁতা অস্ত্র দিয়ে তুহিনের চার হাত-পা পিটিয়ে থেঁতলে দেওয়া হয়েছে",জেনারেল
