correct_sentence,matched_token
কিন্তু ব্যাংকের ক্যাশ কর্মকর্তা রেজাউল ওই বৃদ্ধার টিপসই নিয়ে তাঁকে ৩ হাজার টাকা দেন,ক্যাশ
রাজধানীর মোহাম্মদপুরের জাপান গার্ডেন সিটিতে আসছে জাদু ডিজিটাল,জাপান
কেউ তাঁকে বয়স্ক ভাতার কার্ড করে দেননি,কার্ড
অভিষিক্ত নিরোশান ডিকভেলা টিকে গেছেন শেষ বিকেল,শেষ
প্রথম আলো: ৩১ জানুয়ারিতে কি কোনো প্রজ্ঞাপন আসবে? অ্যাটর্নি জেনারেল: এটা আইন মন্ত্রণালয়ের ব্যাপার,আলো
বিসিএসসহ সরকারি সব চাকরিতে প্রবেশের বয়সসীমা ৩৫ বছর করার দাবি জানিয়েছে বাংলাদেশ সাধারণ ছাত্র পরিষদ নামের একটি সংগঠন,নামের
জাতীয় দলের ক্যাম্প শুরু হওয়ার আগ পর্যন্ত সেখানেই থাকবে,হওয়ার
ডিভিশনের আদেশ পাওয়ার পরই তাঁকে সেখানে স্থানান্তর করা হবে,পাওয়ার
তিনি পুলিশ সুপারের কাছ থেকে নির্দিষ্ট বিল অনুমোদন করে নিলেও কম বিল দিয়ে বিদায় করতেন,বিল
ইংলিশ স্ট্রাইকারের ঘনিষ্ঠজনেরাই জানিয়েছেন এটি,ইংলিশ
সেখানে র্যাম্প ও টিভি বিজ্ঞাপনে কাজ করেছি,টিভি
"অর্থমন্ত্রী আবুল মাল আবদুল মুহিত স্বাধীনতা পুরস্কার পাওয়ার অনুভূতি ব্যক্ত করে সাংবাদিকদের বলেছেন, ‘আমার তো মনে হয়, এটা পাওয়ার জন্যই আমি বেঁচে আছি",পাওয়ার
গতকাল ওই বাজারে অন্যদিনের তুলনায় মাল অর্ধেকেরও কম এসেছে,কম
যুক্তরাষ্ট্রের হিউস্টনে অবস্থিত ওয়ার্ল্ড স্পেস উইক অ্যাসোসিয়েশনের উদ্যোগে সারা বিশ্বে এ সময়ে মহাকাশ সপ্তাহ উদ্যাপন করা হয়,ওয়ার্ল্ড
অপর শেয়ারবাজার চট্টগ্রাম স্টক এক্সচেঞ্জের (সিএসই) সার্বিক সূচকটি ৯৫ পয়েন্ট বেড়ে দাঁড়িয়েছে ১৭ হাজার ৩৪৩ পয়েন্টে,স্টক
"আশা করা হচ্ছে, বিশ্বকাপের অনুশীলনে যোগ দিতে পারবেন হেলস",যোগ
ঢাকা সিটি করপোরেশনের মতো যেন নির্বাচন না হয়,সিটি
হাসপাতালে নেওয়ার পথে তিনি মারা যান,যান
"যেমন বিশ্ববিদ্যালয়ের ক্লাসে বা বন্ধুদের আড্ডায় জিনস-কুর্তায় অভ্যস্ত মেয়েটি যখন শাড়িতে সেজে ওঠে, তখন তার পুরো অবয়বে আসে আমূল পরিবর্তন",বা
কিন্তু “বাদশাহো” ছবিতে আমার অ্যাকশন আছে,অ্যাকশন
সেই নির্বাচনে জনগণ ভোটের মাধ্যমে তাদের দিন কানা রোগের চিকিৎসা দেবে,সেই
১-২০ ওয়ানস আপন এ টাইম,টাইম
রাজধানীর কাফরুলে পুলিশের সঙ্গে কথিত বন্দুকযুদ্ধে আবদুস সালাম নামের এক যুবক নিহত হয়েছেন,নামের
"এ ব্যাপারে কাউন্সিলর মকবুল বলেন, ‘পল্লী বিদ্যুৎ কর্তৃপক্ষ তাঁকে ডেকে নিলেও তাঁর উপস্থিতিতে কোনো মারধরের ঘটনা ঘটেনি",ডেকে
৫ বছরের জন্য যে চুক্তির অঙ্কটা ছিল ১৫০ মিলিয়ন ইউরো,যে
"নাটক শেষ হওয়ার পর মনে হয়, সময়টাই বরবাদ হলো",শেষ
এইচবিও (ইন্ডিয়া)সকাল ১০-২৩ ভি ফর ভেনডেটা (নাটালি পোর্টম্যান),ইন্ডিয়া
ঢাকা মেডিকেল কলেজ হাসপাতালে গতকাল শনিবার রাতে জরুরি বিভাগের ফটক বন্ধ করে বিক্ষোভ করেছেন শিক্ষানবিশ চিকিৎসকেরা,মেডিকেল
"উপজেলা নির্বাহী কর্মকর্তা (ইউএনও) জেসমিন আক্তারের সভাপতিত্বে অনুষ্ঠানে অতিথি ছিলেন জেলা প্রাথমিক শিক্ষা কর্মকর্তা বিলকিস আরা বেগম, উপজেলা পরিষদের ভাইস চেয়ারম্যান এয়ার আহম্মদ ভূঞা",এয়ার
অন্যদিকে মুস্তাফিজকে হাতছানি দিচ্ছে নতুন আরও কিছু রেকর্ড,রেকর্ড
"মানববন্ধনে ফেনী সরকারি কলেজ, ফেনী পলিটেকনিক ইনস্টিটিউট, ফেনী কম্পিউটার ইনস্টিটিউট, আর্য সাংস্কৃতিক কেন্দ্র, পূবালী সাংস্কৃতিক কেন্দ্র, কিশোর থিয়েটার, সুবচন নাট্যগোষ্ঠী, প্রথম আলো ফেনী বন্ধুসভা, ফেনী ক্রিকেট একাডেমি, ফেনী ক্রিকেট অ্যাসোসিয়েশন, আরবান ইয়ুথ সোসাইটি, আভাস, মাহবুব উল হক পেয়ারা ফাউন্ডেশনসহ প্রায় ৩০টি সামাজিক-সাংস্কৃতিক সংগঠনের কর্মী সদস্য ও শিক্ষাপ্রতিষ্ঠানের শিক্ষার্থীরা মানববন্ধনে অংশ নেন",কলেজ
পরে আমরা প্রাণী নিয়ন্ত্রণ কর্তৃপক্ষকে ডেকে সেটা উদ্ধার করি,ডেকে
এই হামলায় তিন নারী ও এক পুরুষ নিহত হয়েছেন,তিন
এর তিন থেকে চার মাস পরই কালভার্টটির এক পাশ (উত্তর দিক) দেবে যায়,তিন
"সংবাদমাধ্যম এ নিয়ে বিসিসিআই নির্বাচক প্রধান এম এস কে প্রসাদের সঙ্গে যোগাযোগ করলে তিনি বলেন, ‘দয়া করে এ বিষয়ে বিসিসিআই সেক্রেটারির সঙ্গে কথা বলুন",কে
ইউনিকোডের প্রথম সংস্করণ ১৯৮৮ সালে প্রকাশ পেলেও ১৯৮৮ থেকে ২০০৯ সাল পর্যন্ত ইউনিকোড কনসোর্টিয়ামে বাংলাদেশ ছিল না,সালে
পরে লাইন থেকে ট্যাংকারগুলো সরিয়ে নিলে বেলা তিনটার দিকে আবার ট্রেন চলাচল শুরু হয়,লাইন
"২০১৬ সালে প্রকাশিত সরকারি অপরাধ প্রতিবেদন অনুযায়ী, ভারতে প্রতি ১৫ মিনিটে একটি শিশু ধর্ষণের শিকার হচ্ছে",সালে
রাজশাহী বিশ্ববিদ্যালয়ের সমাজবিজ্ঞান বিভাগের অধ্যাপক এ কে এম শফিউল ইসলাম হত্যাকাণ্ডে জড়িত থাকার অভিযোগে নাসরিন আকতার নামের একজনকে আটক করেছে নগর গোয়েন্দা পুলিশ,কে
রাষ্ট্রপক্ষে এ সময় অ্যাটর্নি জেনারেল মাহবুবে আলম উপস্থিত ছিলেন,জেনারেল
ধনু২৩ নভেম্বর-২১ ডিসেম্বর,ডিসেম্বর
মানববন্ধনে অংশ নিয়ে ঢাকাস্থ রংপুর বিভাগ সমিতির সভাপতি আবদুল্লাহ আল নাসের এ-সংক্রান্ত দাবিদাওয়া তুলে ধরেন,আল
"হার্ডওয়্যার পরীক্ষাপুরোনো মোবাইল ফোন কেনার আগে ফোনের কাঠামো ঠিকঠাক আছে কি না, দেখে দিন",মোবাইল
"গাছপালা আর রাস্তাঘাটে ধুলোবালু যা জমেছিল, এক্কেবারে শেষ",শেষ
"রায় ঘোষণার সময় আদালত বলেছেন, নারী সাবালিকা বা নাবালিকা যা-ই হোন না কেন, শরীরের ওপর তাঁর পূর্ণ অধিকার রয়েছে",বা
প্রাথমিকভাবে ৫ রান পেনাল্টি করা হয়েছিল সেদিন,রান
প্রিন্স উইলিয়ামের দাদার দাদার নাম ছিল প্রিন্স লুইস,নাম
"বিস্ময় শব্দটিকে গত কিছুদিনে ক্লিশে বানিয়ে ফেলেছেন যিনি, সেই এবি ডি ভিলিয়ার্সের লেগেছিল ১৭৫ ইনিংস",সেই
মোস্তাফিজুর রহমান দিয়েছিলেন মাত্র ৪ রান,রান
এ সময় সেখানে উপস্থিত ছিলেন নান্দাইল উপজেলার সহকারী কমিশনার (ভূমি) ও নির্বাহী হাকিম তামিম আল ইয়ামীন,আল
২০১৪/১৫ মৌসুমেই যেমন চ্যাম্পিয়ন হয়ে বার্সেলোনা ৬১ মিলিয়ন আয় করেছিল,মিলিয়ন
"ভাষণে জাপানের প্রধানমন্ত্রী শিনজো আবে সতর্ক করে দিয়ে বলেছেন, অর্থনীতির বিশ্বায়নের ফলে ঘটতে থাকা দ্রুত পরিবর্তন নিয়ে উদ্বেগ ও অসন্তোষ কখনো কখনো সংরক্ষণবাদের প্রলোভনের দিকে ধাবিত হওয়ার ইন্ধন জুগিয়ে গেলেও নিয়ন্ত্রিত বাণিজ্যিক পদক্ষেপ গ্রহণের হুমকি সবার জন্য ক্ষতিকর হয়ে দেখা দেবে",হওয়ার
নাম মোস্ট ওয়েলকাম টু,নাম
"পূর্ব বাংলার মানুষ সে অন্যায়ের বিরুদ্ধে যে সশস্ত্র প্রতিরোধ গড়ে তোলে, তা ছিল গণতন্ত্র ও ন্যায় প্রতিষ্ঠার লক্ষ্যে এক সর্বাত্মক জনযুদ্ধের সূচনা, যা চলেছে পরবর্তী ৯ মাস ধরে",যে
ব্যানার-ফেস্টুনে তাঁর আগামী ইউনিয়ন পরিষদ নির্বাচনে চেয়ারম্যান পদে প্রার্থী হওয়ার কথা উল্লেখ করা হয়,ইউনিয়ন
"গবেষণায় দেখা যায়, ২০৮০ সালে বাংলাদেশের তাপমাত্রা বেড়ে যাবে দুই ডিগ্রি সেলসিয়াস",সালে
"এর কারণ হলো, দূতাবাসে লোকবল কম",কম
"কিন্তু ১৯৮৮ সালে টেন্ডুলকারকে যখন ক্লাব সদস্য করার সিদ্ধান্ত নেওয়া হয়, তখনই বাধে ফেঁকড়া",সালে
ওই টাকা থেকে আহত ব্যক্তিদের ১০ লাখ ও নিহত ব্যক্তিদের ১৫ লাখ টাকা দেওয়ার প্রতিশ্রুতি আংশিকভাবে মেটানো যেত,যেত
ক্যাম্পাস প্রদক্ষিণ শেষে ফলিতবিজ্ঞান ও প্রযুক্তি অনুষদে গিয়ে র্যা লিটি শেষ হয়,শেষ
এ অবস্থায় গোড়া থেকে ছেঁটে দিলে নতুন গজানো ডালে আবার ভালো ফুল ফুটবে,ফুল
মিডিয়া আমাদের সতর্ক করেছে,মিডিয়া
"আমি এখনো দুজন উচ্চশিক্ষিত, ভালো রেজাল্ট, এমন তরুণীর সিভি নিয়ে ঘুরছি",রেজাল্ট
"ঝঞ্ঝাবিক্ষুব্ধ সময়ে শান্তি পুনরুদ্ধারে ও মধ্যপ্রাচ্যের গণতন্ত্র সুরক্ষায় যুক্তরাষ্ট্রের উচিত হবে এরদোয়ানের মতো একজন একনায়ককে পাত্তা না দেওয়া, যিনি তাঁর বিরুদ্ধে পরিচালিত এক ব্যর্থ অভ্যুত্থানকে সাংবিধানিক সরকারের বিরুদ্ধে অভ্যুত্থানে পরিণত করছেন, যার নেতা স্বয়ং তিনি",যার
তারা নিজস্ব তহবিল দিয়ে অনেক সময় ছোট ছোট প্রকল্প নেয় বা কেনাকাটা করে,বা
"উপজেলা আওয়ামী লীগের সভাপতি আবদুল বাতেনের সভাপতিত্বে গতকাল বেলা ১১টায় শুরু হওয়া সভায় উপজেলা, পৌর ও ইউনিয়ন পর্যায়ের নেতা-কর্মীরা উপস্থিত ছিলেন",ইউনিয়ন
এই জয়ে পয়েন্ট টেবিলের তিন নম্বরে তুলে এনেছে ইন্টার মিলানকে,পয়েন্ট
"সামাজিক ও অর্থনৈতিক ক্ষেত্রে অব্যাহতভাবে যে পরিবর্তন ঘটে চলেছে, তার অনিবার্য পরিণতি হিসেবেই এমনটি হচ্ছে",যে
এই অ্যাক্টে বা আইনে নির্দেশ জারি করা হয়েছিল যে বিনা সরকারি অনুমোদনে সরকারি নীতিসংক্রান্ত কোনো সংবাদ বা আলোচনা সাময়িক পত্রিকায় প্রকাশ করা যাবে না,বা
এ ঘটনায় ওই ছাত্রীর বাবা বাদী হয়ে গত শনিবার রাতে থানায় মামলা করেন,রাতে
"তিনি বলেন, ‘উইন্ড অব চেঞ্জ বিশ্বের সবচেয়ে বড় মিউজিক কোলাবরেশন প্রজেক্ট",চেঞ্জ
গত ২১ মে ৭১ সদস্যবিশিষ্ট কার্যনির্বাহী কমিটি ও ২১ সদস্যবিশিষ্ট উপদেষ্টা পরিষদ দলের সভানেত্রী শেখ হাসিনা অনুমোদন দেন,মে
গত বৃহস্পতিবার (২১ মে) রাতে অস্ত্রের মুখে মাইক্রোবাসে তুলে ধর্ষণের অভিযোগে পরদিন দুপুরে ওই আদিবাসী তরুণী রাজধানীর ভাটারা থানায় মামলা করেন,মে
"আবেদনপত্র পাঠানোর ঠিকানা: ডিএম, আশা-নারায়ণগঞ্জ জেলা, ৪৭/৮, হাজি ব্রাদার্স রোড, (সরকার ম্যানশন), নিউ চাষাঢ়া, জাতলা, নারায়ণগঞ্জ",নিউ
অতীতে যে কথা বলা হয়েছে তাই পুনরায় স্মরণ করিয়ে দেওয়া,যে
"শ্যামলী কাউন্টারের স্টাফ আনোয়ার হোসেন প্রথম আলোকে বলেন, ‘বাস বেশিক্ষণ থাকে না",স্টাফ
এবার হজযাত্রীদের সৌদি আরবে যাওয়ার শেষ ফ্লাইট ২৫ আগস্ট,এবার
কিন্তু সরকার জাতিসংঘের এই উদ্যোগে সাড়া দেওয়ার চেয়ে কালক্ষেপণ করায় শেষ পর্যন্ত জাতিসংঘ মহাসচিবের প্রয়াস সফল হয়নি,শেষ
এই খবর পেয়ে রাঙ্গুনিয়া ফায়ার স্টেশনের কর্মীরা ঘটনাস্থলে যান,ফায়ার
সবাই এমনভাবে তাকাতেন যেন সব দোষ তাঁর,যেন
গত তিন দিনে শিলাকোঠা তিনটি বাড়িতে ডাকাত দল হানা দেয়,তিন
অপহরণকারীরা তাঁর কানে ফোন ধরিয়ে দিলে তিনি তাঁর স্ত্রীকে টাকার বিষয়টি জানান,ফোন
তিনি সেই দৃষ্টিকোণ থেকে নিজেই বলেছেন তাঁর নিজেরই ভুল হয়েছে,সেই
"এত কিছু করি, শুধু পড়ে থাকে বিকেলের রোদ আর বইগুলো, জানালার পাশের আমার ছোট্ট সেলফ",সেলফ
"এ প্রসঙ্গে নাম প্রকাশে অনিচ্ছুক সিন্ডিকেটের এক সদস্য বলেন, ‘শিক্ষক নিয়োগের জন্য আগের উপাচার্যের সময় সাক্ষাৎকার নেওয়া হলো",নাম
"রুমি এন্টারপ্রাইজের খলিলুর রহমানের যে তথ্য দিয়ে অর্থ আত্মসাৎ ও চেকের জালিয়াতির ঘটনার অবতারণা করা হয়েছে, তা ভিত্তিহীন ও উদ্দেশ্যপ্রণোদিত",যে
"তার গলার নিচ থেকে বুক, ডান হাত, বাঁ হাত ও পিঠের প্রায় ১৭ শতাংশ পুড়ে গেছে",বুক
"মাইক হাতে নিয়েই তাঁর প্রথম কথা, ‘গত রাতের জন্য আমি দুঃখিত",রাতের
*শ্বাসকষ্ট হলে বা শ্বাসকষ্টের জন্য শিশু খেতে না পারলে,বা
৩০ এপ্রিল এবং ৫ মে শেষ হবে শেষ দুই পর্বের ভোট গ্রহণ,এপ্রিল
"ইলেকট্রনিক গণমাধ্যমকর্মীদের বিষয়ে মন্ত্রী বলেন, রেডিও এবং টেলিভিশনে কর্মরত সাংবাদিক ও কর্মচারীদের নবম ওয়েজ বোর্ডে অন্তর্ভুক্তির বিষয়ে নীতিগতভাবে সরকারের সিদ্ধান্ত ইতিবাচক",ইলেকট্রনিক
"আপনি মেয়ের বিয়ে দেবেন, সেই অনুষ্ঠানে কাদেরকে দাওয়াত দেবেন আর কাদেরকে দাওয়াত দিতে পারবেন না, অতিথিদের খাওয়ানোর জন্য চেয়ারম্যানের পছন্দের কোন খাবারটি রাখতে হবে—এসব বিষয়ে চেয়ারম্যানের কথাই শেষ কথা",সেই
এবার সেটা হবার নায়,এবার
"জেলা শহরের একটি ক্লিনিকে চিকিৎসাধীন আনিছুর রহমান প্রথম আলোকে বলেন, গত বছরের মার্চ মাসে মুজিবর রহমান ও চাচা আজিজুর রহমান গ্রামের তবিবুর রহমানের কাছ থেকে আট শতক ধানের জমি কেনেন",মার্চ
"যেমন ২০১৭ সালে ৪১০ কোটি যাত্রী আকাশপথে যাত্রা করেছেন, কিন্তু গত বছরে একটিও যাত্রীবাহী বিমান দুর্ঘটনার ঘটনা ঘটেনি",সালে
"এই যে প্রতিবছর হাজার হাজার তরুণ স্নাতক ও স্নাতকোত্তর ডিগ্রি নিয়ে বের হচ্ছেন, তাঁদের প্রতি কি রাষ্ট্রের কোনোই দায়িত্ব নেই?৩.লেখাটি শুরু করেছিলাম একজন প্রতিবন্ধী উচ্চশিক্ষিত মানুষের আকুতি ও প্রতিবাদের ঘটনা নিয়ে",যে
তিনি নিজের উপার্জন থেকে জমানো প্রায় ৭০ লাখ টাকা দিয়ে এখন সেই কাজ আবার শুরু করেছেন,সেই
তাই আর এনআরসিকে এবার ঢুকতে দেব না এই বাংলায়,এবার
"হোটেল হান্নান আল ফয়েজ রেস্তোরাঁর মালিক বজলুল কবির প্রথম আলোকে বলেন, ‘স্বপন ত্রিপুরা ১০ দিন আগে রেস্তোরাঁয় চাকরি নেন",আল
"জুভেন্টাসের ভবিষ্যৎ বলে ভাবা হচ্ছে, সেই দিবালাকে যে কালও নামানো হয়েছে প্রায় শেষ মুহূর্তে",সেই
"...অরিত্রীকে সালোয়ার-কামিজ পরা অবস্থায় বান্ধবীর সঙ্গে বাইরে যেতে দেখে ওর মা বলে ওঠে, ‘বাহ্, সালোয়ার–কামিজে তো তোকে মানিয়েছে বেশ",বেশ
শেষ দিকে গোল ব্যবধান ৩-০ করেছেন বদলি আহমেদ ফাহিম,শেষ
"বলেন, ‘যে গ্রাহক অর্থ পরিশোধ করে না, তাঁর প্রতি আমরা যত্নশীল হই না—আমার মনে হয় এমন যুক্তির সঙ্গে সত্যের কোনো মিল নেই",যে
"তিনি অভিযোগ করেন, কমিশন সুষ্ঠু নির্বাচন করতে সম্পূর্ণ ব্যর্থ হয়েছে",কমিশন
ত্রিদেশীয় সফরের প্রথমে জাপানে চার দিনের সফর শেষে সৌদি বাদশাহর আমন্ত্রণে ওআইসির ১৪তম শীর্ষ সম্মেলনে যোগ দিতে ৩১ মে শেখ হাসিনা সৌদি আরবে পৌঁছান,যোগ
২০১৫ সালের ২৫ মার্চ এ স্বাস্থ্য কমপ্লেক্সে আনুষ্ঠানিকভাবে বৈকালিক চিকিৎসাসেবা কার্যক্রমের উদ্বোধন করা হয়,মার্চ
এ বছরের ২৩ জানুয়ারি জাজিরা প্রান্তের তীরের দিকের ষষ্ঠ স্প্যান বসে,বসে
বিরাট কোহলিও ৬৬ রান করেছে হেলেদুলে,রান
"আন্তর্জাতিক গণমাধ্যম যুক্তরাষ্ট্রের ওয়াল স্ট্রিট জার্নাল গত ৩ আগস্ট এক প্রতিবেদনে বলেছে, হরতাল বাংলাদেশের জন্য এক বিরাট সমস্যা",স্ট্রিট
এ ব্যাপারে গত বৃহস্পতিবার ইয়াহিয়া কক্সবাজার সদর মডেল থানায় সাংসদ বদির বিরুদ্ধে একটি সাধারণ ডায়েরি  (জিডি) করেন,মডেল
এই মামলার এজাহারভুক্ত ৯ নম্বর আসামি ও জেলা ছাত্রলীগের যুগ্ম সম্পাদক রিংকু আজ আদালতে হাজির হননি,নম্বর
পরে দুপুরে চন্দ্রা পল্লী বিদ্যুৎ এলাকায় ইকুটেক্স লিমিটেড কারখানা পরিদর্শন করেন তিনি,লিমিটেড
দায়িত্ব নেওয়ার এক দিন পরই পালিয়ে যান,যান
"এ শহরের গর্ভবতী মায়েরা যাতে ঢাকা মেডিকেল কলেজ, মুগদা হাসপাতাল ও আজিমপুর মেটার্নিটিতে আসতে পারেন, তার জন্য সমন্বিত উদ্যোগ নেওয়া হচ্ছে",মেডিকেল
দ্বিতীয় ও তৃতীয় হয় যথাক্রমে বাংলাদেশ মহিলা সমিতি স্কুলের রাচিলা রহমান ও নলেজ স্কুল অ্যান্ড কলেজের পঙ্ক্তি সেন,নলেজ
"দেশনেত্রী খালেদা জিয়া যখন সরকারের বিরুদ্ধে আন্দোলন-সংগ্রাম জোরদার করার চেষ্টা করছেন, তখন দলের ভাবমূর্তি নষ্ট ও দলে বিভাজন সৃষ্টির জন্য অগণতান্ত্রিকভাবে আমাদের কারণ দর্শানোর নোটিশ দেওয়া হয়েছে",নোটিশ
"কোনাবাড়ি শরীফ জেনারেল হাসপাতালের জরুরি বিভাগের চিকিত্সক আমিনুল ইসলাম জানান, খাবারগুলি নষ্ট হয়ে বিষক্রিয়ার সৃষ্টি হয়েছে",জেনারেল
"পুলিশ জানায়, ওই দিন রাতে বাবু মোটরসাইকেল নিয়ে উল্লাপাড়া রেলওয়ে স্টেশন থেকে পৌর শহরের শ্যামলীপাড়া বাসস্ট্যান্ডে যাচ্ছিলেন",রাতে
"চলাফেরা, হাঁচি বা কাশি দেওয়ার সময় কাটা স্থানে যেন চাপ না পড়ে",বা
"কিন্তু প্রেসিডেন্ট অভিযোগ করেন, রাজনৈতিক উদ্দেশ্য হাসিলের জন্য দেশটির অভিজাতরা অর্থনৈতিক অন্তর্ঘাতকে উসকে দিচ্ছে",প্রেসিডেন্ট
"আগে ফিল্ডিং করার সিদ্ধান্ত এতটাই কৌতূহলোদ্দীপক যে, প্রেসবক্সে কাল টসের পর থেকেই ঘাঁটাঘাঁটি—দেশের মাটিতে খেলা টেস্টে এর আগে কতবার টসে জিতে ফিল্ডিং নিয়েছে বাংলাদেশ দল? এবারের সিরিজের আগে মাত্র ৬টিতে, যদিও দেশের মাটিতে বাংলাদেশ টেস্ট খেলেছে ৪৭টি",যে
এর প্রথম ৪ সংখ্যা এজেন্সির নম্বর আর শেষ ৩ সংখ্যা হজযাত্রীর পরিচিতি নম্বর,নম্বর
"১০ সেপ্টেম্বর চট্টগ্রাম ইঞ্জিনিয়ারিং ইনস্টিটিউটে অনুষ্ঠিত সেমিনারে উচ্চ ভোল্টেজের বিদ্যুৎ সঞ্চালন, পরিবহন ও নিয়ন্ত্রণের উপযোগী যন্ত্রপাতির ব্যবহার ও উপযোগিতা নিয়ে আলোচনা করা হয়",সেপ্টেম্বর
"সুমনের আত্মীয় আবদুর রব প্রথম আলোকে জানান, সকাল সাড়ে আটটার সময় তিনি আগুন লাগার খবরে পেয়ে দ্রুত সেই বাড়িতে যান",সেই
"অন্যদিকে, চট্টগ্রাম স্টক এক্সচেঞ্জে (সিএসই) সার্বিক সূচক বেড়েছে ৫ পয়েন্ট",স্টক
এ দুর্ঘটনায় আহত ব্যক্তিদের মধ্যে তিনজনকে রাজশাহী মেডিকেল কলেজ হাসপাতালে ভর্তি করা হয়েছে,মেডিকেল
টি-টোয়েন্টিতে বাংলাদেশের বিপক্ষে টানা অষ্টম জয় তুলে নিয়েও ভারত যেমন নিজেদের বুকে ফুঁ দিয়ে বলছে এবার বরাতজোরে বেঁচে গেছি,ফুঁ
গতকাল সোমবার সকালে কাস্টম হাউস পরিদর্শন এবং কর্মকর্তাদের সঙ্গে বৈঠক শেষে সাংবাদিকদের এ কথা বলেন দুর্নীতি দমন কমিশনের (দুদক) কমিশনার এ এফ এম আমিনুল ইসলাম,হাউস
একটি মেয়েকে ভালোবাসি,মেয়েকে
"পবিত্র কোরআনে সতর্কবাণী উচ্চারিত হয়েছে, ‘জলে-স্থলে মানুষের কৃতকর্মের দরুন বিশৃঙ্খলা ও অশান্তি ছড়িয়ে পড়ছে, যার ফলে আল্লাহ তাদেরকে তাদের কিছু কিছু কাজের শাস্তি আস্বাদন করাতে চান, যাতে তারা ফিরে আসে",যার
"এদিকে প্রভাবশালী ব্রিটিশ পত্রিকা গার্ডিয়ান-এর ব্লগার গ্লেন গ্রিনওয়াল্ড দাবি করেছেন, গত মঙ্গলবার তিনি স্নোডেনের সঙ্গে অনলাইনে কথা (চ্যাট) বলেছেন",চ্যাট
মুক্তির আনন্দে ভেসে গিয়েছিল সারা দেশ,দেশ
"হিংসা-বিদ্বেষ নয়, খুন বা অপহরণ নয়, পরস্পরকে মানব মর্যাদা দান করতে",বা
সুমন খুলনা মেডিকেল কলেজ থেকে এমবিবিএস পাস করার পর ঢাকায় এসে বঙ্গবন্ধু শেখ মুজিব মেডিকেল বিশ্ববিদ্যালয় (বিএসএমএমইউ) সংলগ্ন আজিজ কো-অপারেটিভ হাউজিং সোসাইটিরই একটি কক্ষে ছিলেন,মেডিকেল
৬ সেপ্টেম্বর সকালে চট্টগ্রাম কলেজিয়েট স্কুল মিলনায়তনে অনুষ্ঠিত হয় এই ক্যাম্প,সেপ্টেম্বর
উত্তর মেরু অঞ্চলে সাধারণত দেখতে পাওয়া যায় এমন আলোকচ্ছটা (অরোরা) পর্যবেক্ষণকারীরা রাতের আকাশে একটি নতুন ধরনের আলোকচ্ছটা দেখতে পেয়েছেন,রাতের
এখানে দুটি টেস্ট খেলতে এসেছি,টেস্ট
এ ঘটনায় খোকন দাসের ভাই রিপন দাস অজ্ঞাতনামা ব্যক্তিদের আসামি করে ২৬ জুন কালীগঞ্জ থানায় মামলা করেন,জুন
"প্রসঙ্গত, গতকাল সকাল পৌনে ১০টা থেকে সোয়া ১০টা পর্যন্ত বিএনপির ভারপ্রাপ্ত মহাসচিব ঠাকুরগাঁওয়ের পীরগঞ্জ পৌরসভার কলেজ হাটে বিএনপির মনোনীত মেয়র পদ প্রার্থী রাজিউর রহমান ওরফে রাজুর পক্ষে নির্বাচনী গণসংযোগ করেন",কলেজ
